"block" "trial" "onset1" "onset2" "onset3" "onset4" "syllable" "speaker" "gender" "consonant" "vowel" "voicing" "place"
1 1 9997 11133 12237 13340 "poo" "S3" "female" "p" "oo" "voiceless" "labial"
1 2 18121 19224 20328 21431 "da" "S2" "male" "d" "a" "voiced" "alveolar"
1 3 24941 26045 27148 28251 "tee" "S4" "female" "t" "ee" "voiceless" "alveolar"
1 4 31394 32497 33600 34704 "da" "S3" "female" "d" "a" "voiced" "alveolar"
1 5 38465 39568 40672 41775 "ba" "S2" "male" "b" "a" "voiced" "labial"
1 6 45370 46472 47576 48679 "pa" "S2" "male" "p" "a" "voiceless" "labial"
1 7 53644 54747 55850 56954 "doo" "S3" "female" "d" "oo" "voiced" "alveolar"
1 8 59912 61016 62119 63222 "dee" "S2" "male" "d" "ee" "voiced" "alveolar"
1 9 66532 67635 68739 69842 "poo" "S3" "female" "p" "oo" "voiceless" "labial"
1 10 75007 76111 77214 78317 "too" "S3" "female" "t" "oo" "voiceless" "alveolar"
1 11 82981 84085 85188 86291 "bee" "S2" "male" "b" "ee" "voiced" "labial"
1 12 90454 91557 92660 93763 "boo" "S4" "female" "b" "oo" "voiced" "labial"
1 13 99213 100316 101420 102523 "doo" "S4" "female" "d" "oo" "voiced" "alveolar"
1 14 106769 107872 108976 110079 "da" "S1" "male" "d" "a" "voiced" "alveolar"
1 15 113288 114392 115495 116598 "too" "S4" "female" "t" "oo" "voiceless" "alveolar"
1 16 121145 122249 123352 124455 "da" "S2" "male" "d" "a" "voiced" "alveolar"
1 17 127113 128216 129320 130423 "ta" "S3" "female" "t" "a" "voiceless" "alveolar"
1 18 135622 136725 137828 138932 "dee" "S1" "male" "d" "ee" "voiced" "alveolar"
1 19 142058 143161 144264 145368 "bee" "S3" "female" "b" "ee" "voiced" "labial"
1 20 150717 151820 152923 154027 "pa" "S4" "female" "p" "a" "voiceless" "labial"
1 21 158390 159493 160596 161700 "pee" "S1" "male" "p" "ee" "voiceless" "labial"
1 22 163906 165010 166113 167233 "tee" "S1" "male" "t" "ee" "voiceless" "alveolar"
1 23 169740 170844 171947 173050 "too" "S4" "female" "t" "oo" "voiceless" "alveolar"
1 24 174755 175859 176962 178065 "pa" "S2" "male" "p" "a" "voiceless" "labial"
1 25 180907 182010 183114 184217 "boo" "S4" "female" "b" "oo" "voiced" "labial"
1 26 185872 186975 188078 189182 "ta" "S1" "male" "t" "a" "voiceless" "alveolar"
1 27 194748 195852 196955 198058 "dee" "S3" "female" "d" "ee" "voiced" "alveolar"
1 28 202505 203608 204711 205815 "pa" "S1" "male" "p" "a" "voiceless" "labial"
1 29 207871 209041 210144 211248 "poo" "S1" "male" "p" "oo" "voiceless" "labial"
1 30 213387 214491 215594 216697 "ba" "S3" "female" "b" "a" "voiced" "labial"
1 31 220492 221595 222699 223802 "pa" "S3" "female" "p" "a" "voiceless" "labial"
1 32 226209 227312 228416 229519 "tee" "S4" "female" "t" "ee" "voiceless" "alveolar"
1 33 232929 234032 235136 236239 "ta" "S1" "male" "t" "a" "voiceless" "alveolar"
1 34 240184 241287 242391 243494 "da" "S2" "male" "d" "a" "voiced" "alveolar"
1 35 248542 249646 250749 251852 "pee" "S4" "female" "p" "ee" "voiceless" "labial"
1 36 254560 255664 256767 257870 "pa" "S1" "male" "p" "a" "voiceless" "labial"
1 37 262701 263805 264908 266011 "ba" "S1" "male" "b" "a" "voiced" "labial"
1 38 267967 269070 270174 271277 "bee" "S1" "male" "b" "ee" "voiced" "labial"
1 39 275339 276442 277546 278649 "boo" "S1" "male" "b" "oo" "voiced" "labial"
1 40 280956 282059 283162 284266 "pa" "S3" "female" "p" "a" "voiceless" "labial"
