"Subject" "List" "Date" "Time" "Run" "Trial" "condition" "delaycondition" "Target" "WordPresentationOnset" "MathRespOnset" "RecallwordOnset" "Recallword.ACC" "finalrecall" "finalrecognition" "syllables" "living" "PC1" "PC2" "PC1fac" "PC2fac" "MDSF1" "MDSF2" "MDSF3"
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 1 "deep" "rehearse" "hornet" 12000 23300 25300 1 0 1 2 TRUE -0.157905379659869 0.423367674709515 "low" "high" -0.542152663206774 -0.11717642941798 -0.372428380574485
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 2 "shallow" "rehearse" "trombone" 38391 49691 51691 1 0 1 2 FALSE 1.1658805834576 -0.484477010900392 "high" "low" 0.497620346604588 -0.333705457968628 -0.155048634845395
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 3 "shallow" "easymathtrialproc" "airplane" 62781 74081 76081 1 0 1 2 FALSE 0.562366470004584 0.0884099298099887 "high" "low" 0.50018225078897 -0.450528389014875 -0.153744767787855
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 4 "deep" "easymathtrialproc" "bicycle" 87171 98471 100471 1 0 1 3 FALSE 1.35020767665989 -0.190572366502428 "high" "low" 0.326474476911791 -0.260465973831017 -0.0501887006381858
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 5 "deep" "hardmathtrialproc" "baboon" 113562 124862 126862 1 0 1 2 TRUE -0.157905379659869 0.423367674709515 "low" "high" -0.469238456658034 -0.315466189299086 0.29001188058294
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 6 "deep" "hardmathtrialproc" "therapist" 136902 148202 150202 1 1 1 3 TRUE 2.83449887108603 -0.584664224192357 "high" "low" -0.161869140034351 0.145536245366973 -0.0864827379199219
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 7 "shallow" "easymathtrialproc" "reporter" 161259 172559 174559 1 0 0 3 TRUE 1.79551596967069 0.398568008408568 "high" "high" -0.172332976742444 0.120918608755217 -0.0962716493245473
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 8 "shallow" "hardmathtrialproc" "cupboard" 183648 194948 196948 0 0 0 2 FALSE 0.542326697188373 -0.210483793461244 "high" "low" 0.230308047782064 -0.115558202837491 -0.416899423904661
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 9 "shallow" "hardmathtrialproc" "tutor" 209006 220306 222306 0 0 1 2 TRUE -0.521180968237239 0.501242457765719 "low" "high" -0.301514672257117 0.139718863077824 -0.296535978223512
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 1 10 "shallow" "hardmathtrialproc" "librarian" 232346 243646 245646 1 0 1 4 TRUE 3.2237232576374 -0.500917725891331 "high" "low" -0.227410744263703 0.150269933522842 -0.194342189598035
