"run" "onset" "image" "lead_up" "rep_num" "fix_num" "response" "rt" "null" "face_gen" "bad" "dfixnum" "mfixnum" "fixdiff12" "fixdiff23" "fixdiff34" "fixdiff14" "rslope" "nrslope" "fixnplus1" "fixnminus1"
1 12 "M108.jpg" 1 1 7 1 1.99 0 "male" 0 0 7 0 0 0 0 0 0 NA NA
1 18 "null.jpg" 1 -1 6 3 1.06 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 24 "M109.jpg" 1 1 11 2 2.23 0 "male" 0 0 12.5 0 0 0 0 0 0 3 NA
1 30 "null.jpg" 1 -1 4 3 0.91 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 36 "F110.jpg" 1 1 11 2 2.76 0 "female" 0 0 10.3333333333333 0 0 0 0 0 0 0 NA
1 42 "F101.jpg" 1 1 10 1 2.34 0 "female" 0 0 10 0 0 0 0 0 0 0 NA
1 48 "F109.jpg" 1 1 11 2 2.71 0 "female" 0 0 12 0 0 0 0 0 0 2 NA
1 54 "M101.jpg" 1 1 14 2 1.36 0 "male" 0 0 10.25 0 0 0 0 0 0 -5 NA
1 60 "M110.jpg" 1 1 9 2 1.32 0 "male" 0 0 9.33333333333333 0 0 0 0 0 0 -1 NA
1 66 "F108.jpg" 1 1 11 2 2.23 0 "female" 0 0 11 0 0 0 0 0 0 NA NA
1 72 "F109.jpg" 1 2 13 2 2.52 0 "female" 0 0.166666666666667 12 0 0 0 0 0 0 NA 2
1 78 "F101.jpg" 1 2 10 1 2.32 0 "female" 0 0 10 0 0 0 0 0 0 2 0
1 84 "null.jpg" 1 -1 5 3 0.9 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 90 "M110.jpg" 1 2 8 2 1.61 0 "male" 0 -0.107142857142857 9.33333333333333 0 0 0 0 0 0 3 -1
1 96 "F110.jpg" 1 2 11 2 2.11 0 "female" 0 0 10.3333333333333 0 0 0 0 0 0 -2 0
1 102 "F102.jpg" 1 1 13 2 2.05 0 "female" 0 0 11.25 0 0 0 0 0 0 -2 NA
1 108 "M102.jpg" 1 1 12 2 2.42 0 "male" 0 0 10.75 0 0 0 0 0 0 -2 NA
1 114 "null.jpg" 1 -1 3 3 1.28 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 120 "M101.jpg" 1 2 9 2 1.29 0 "male" 0 -0.48780487804878 10.25 0 0 0 0 0 0 -1 -5
1 126 "M109.jpg" 1 2 14 2 1.62 0 "male" 0 0.24 12.5 0 0 0 0 0 0 NA 3
1 132 "F103.jpg" 1 1 13 1 2.94 0 "female" 0 0 11 0 0 0 0 0 0 0 NA
1 138 "F110.jpg" 1 3 9 2 1.11 0 "female" 0 -0.193548387096774 10.3333333333333 0 0 0 0 0.0403027426493037 0.0228669034760412 NA -2
1 144 "M101.jpg" 1 3 8 2 1.34 0 "male" 0 -0.0975609756097561 10.25 0 0 0 0 0 0 2 -1
1 150 "F102.jpg" 1 2 11 1 2.48 0 "female" 0 -0.177777777777778 11.25 0 0 0 0 0 0 -2 -2
1 156 "null.jpg" 1 -1 6 3 0.84 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 162 "M110.jpg" 1 3 11 2 0.79 0 "male" 0 0.321428571428571 9.33333333333333 0 0 0 0 1.85931017598381 1.82951309531584 NA 3
1 168 "M103.jpg" 1 1 9 2 1.69 0 "male" 0 0 7.25 0 0 0 0 0 0 0 NA
1 174 "F101.jpg" 1 3 12 1 1.54 0 "female" 0 0.2 10 0 0 0 0 0 0 -4 2
1 180 "null.jpg" 1 -1 8 3 0.72 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 186 "M102.jpg" 1 2 10 2 2.48 0 "male" 0 -0.186046511627907 10.75 0 0 0 0 0 0 0 -2
1 192 "M104.jpg" 0 1 11 1 2.76 0 "male" 0 0 10 0 0 0 0 0 0 -1 NA
1 198 "null.jpg" 0 -1 4 3 1.14 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 204 "null.jpg" 0 -1 6 3 1.06 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 210 "F102.jpg" 0 3 9 1 2.01 0 "female" 0 -0.177777777777778 11.25 0 0 0 0 0 0 3 -2
1 216 "M102.jpg" 0 3 10 2 2.34 0 "male" 0 0 10.75 0 0 0 0 0 0 1 0
1 222 "M101.jpg" 0 4 10 2 1.64 0 "male" 0 0.195121951219512 10.25 0 0 0 0 -0.232548372350872 -0.0990264149308604 NA 2
1 228 "F103.jpg" 0 2 13 1 2.02 0 "female" 0 0 11 0 0 0 0 0 0 -4 0
1 234 "F104.jpg" 0 1 11 2 1.51 0 "female" 0 0 10.75 0 0 0 0 0 0 0 NA
