"block" "trial" "onset1" "onset2" "onset3" "onset4" "syllable" "speaker" "gender" "consonant" "vowel" "voicing" "place"
4 1 9980 11099 12203 13306 "ta" "S1" "male" "t" "a" "voiceless" "alveolar"
4 2 17201 18304 19408 20511 "too" "S4" "female" "t" "oo" "voiceless" "alveolar"
4 3 22116 23219 24322 25426 "tee" "S3" "female" "t" "ee" "voiceless" "alveolar"
4 4 28234 29337 30441 31544 "poo" "S3" "female" "p" "oo" "voiceless" "labial"
4 5 34152 35255 36358 37461 "tee" "S2" "male" "t" "ee" "voiceless" "alveolar"
4 6 39501 40604 41707 42811 "too" "S3" "female" "t" "oo" "voiceless" "alveolar"
4 7 47659 48762 49865 50968 "doo" "S3" "female" "d" "oo" "voiced" "alveolar"
4 8 53175 54278 55382 56485 "doo" "S1" "male" "d" "oo" "voiced" "alveolar"
4 9 60280 61383 62486 63589 "ba" "S2" "male" "b" "a" "voiced" "labial"
4 10 68086 69190 70293 71396 "pa" "S3" "female" "p" "a" "voiceless" "labial"
4 11 75157 76261 77364 78467 "boo" "S1" "male" "b" "oo" "voiced" "labial"
4 12 82613 83716 84820 85923 "ba" "S1" "male" "b" "a" "voiced" "labial"
4 13 90319 91423 92526 93629 "ba" "S3" "female" "b" "a" "voiced" "labial"
4 14 98527 99630 100734 101837 "tee" "S1" "male" "t" "ee" "voiceless" "alveolar"
4 15 105047 106150 107253 108356 "poo" "S4" "female" "p" "oo" "voiceless" "labial"
4 16 113856 114960 116063 117166 "doo" "S2" "male" "d" "oo" "voiced" "alveolar"
4 17 120476 121579 122683 123786 "pee" "S3" "female" "p" "ee" "voiceless" "labial"
4 18 126912 128015 129118 130222 "boo" "S2" "male" "b" "oo" "voiced" "labial"
4 19 132178 133281 134384 135487 "pee" "S1" "male" "p" "ee" "voiceless" "labial"
4 20 140486 141589 142692 143796 "poo" "S4" "female" "p" "oo" "voiceless" "labial"
4 21 146754 147858 148961 150064 "poo" "S2" "male" "p" "oo" "voiceless" "labial"
4 22 153508 154611 155715 156818 "too" "S2" "male" "t" "oo" "voiceless" "alveolar"
4 23 159827 160930 162033 163137 "too" "S2" "male" "t" "oo" "voiceless" "alveolar"
4 24 168285 169389 170492 171595 "ba" "S1" "male" "b" "a" "voiced" "labial"
4 25 176894 177998 179101 180204 "pa" "S2" "male" "p" "a" "voiceless" "labial"
4 26 182411 183514 184618 185721 "boo" "S3" "female" "b" "oo" "voiced" "labial"
4 27 189917 191020 192123 193227 "ba" "S4" "female" "b" "a" "voiced" "labial"
4 28 194932 196035 197138 198242 "tee" "S4" "female" "t" "ee" "voiceless" "alveolar"
4 29 201000 202103 203206 204310 "da" "S1" "male" "d" "a" "voiced" "alveolar"
4 30 207971 209074 210177 211281 "boo" "S2" "male" "b" "oo" "voiced" "labial"
4 31 213103 214206 215309 216413 "da" "S4" "female" "d" "a" "voiced" "alveolar"
4 32 220859 221962 223066 224169 "doo" "S2" "male" "d" "oo" "voiced" "alveolar"
4 33 229368 230471 231574 232678 "da" "S4" "female" "d" "a" "voiced" "alveolar"
4 34 237375 238478 239582 240685 "too" "S2" "male" "t" "oo" "voiceless" "alveolar"
4 35 244212 245315 246419 247522 "doo" "S2" "male" "d" "oo" "voiced" "alveolar"
4 36 252922 254025 255128 256231 "tee" "S2" "male" "t" "ee" "voiceless" "alveolar"
4 37 260879 261982 263085 264189 "dee" "S3" "female" "d" "ee" "voiced" "alveolar"
4 38 266596 267699 268802 269906 "poo" "S2" "male" "p" "oo" "voiceless" "labial"
4 39 273901 275004 276107 277211 "bee" "S1" "male" "b" "ee" "voiced" "labial"
4 40 279718 280822 281925 283028 "pee" "S3" "female" "p" "ee" "voiceless" "labial"
