"block" "trial" "onset1" "onset2" "onset3" "onset4" "syllable" "speaker" "gender" "consonant" "vowel" "voicing" "place"
6 1 9980 11117 12220 13323 "bee" "S1" "male" "b" "ee" "voiced" "labial"
6 2 17820 18923 20027 21130 "poo" "S3" "female" "p" "oo" "voiceless" "labial"
6 3 25878 26981 28084 29187 "too" "S4" "female" "t" "oo" "voiceless" "alveolar"
6 4 32715 33818 34921 36025 "bee" "S2" "male" "b" "ee" "voiced" "labial"
6 5 39151 40254 41357 42460 "ta" "S4" "female" "t" "a" "voiceless" "alveolar"
6 6 46205 47308 48412 49515 "dee" "S4" "female" "d" "ee" "voiced" "alveolar"
6 7 54145 55249 56352 57455 "boo" "S3" "female" "b" "oo" "voiced" "labial"
6 8 61751 62855 63958 65061 "poo" "S2" "male" "p" "oo" "voiceless" "labial"
6 9 66917 68020 69123 70227 "dee" "S2" "male" "d" "ee" "voiced" "alveolar"
6 10 73135 74239 75342 76445 "doo" "S3" "female" "d" "oo" "voiced" "alveolar"
6 11 78451 79555 80658 81761 "boo" "S1" "male" "b" "oo" "voiced" "labial"
6 12 85205 86308 87411 88515 "bee" "S4" "female" "b" "ee" "voiced" "labial"
6 13 90621 91724 92827 93931 "doo" "S4" "female" "d" "oo" "voiced" "alveolar"
6 14 98879 99982 101085 102189 "pa" "S2" "male" "p" "a" "voiceless" "labial"
6 15 103927 105031 106134 107237 "too" "S3" "female" "t" "oo" "voiceless" "alveolar"
6 16 112235 113339 114442 115545 "bee" "S3" "female" "b" "ee" "voiced" "labial"
6 17 117953 119056 120159 121262 "boo" "S2" "male" "b" "oo" "voiced" "labial"
6 18 126712 127815 128919 130022 "poo" "S1" "male" "p" "oo" "voiceless" "labial"
6 19 132830 133934 135037 136140 "ta" "S3" "female" "t" "a" "voiceless" "alveolar"
6 20 139500 140603 141707 142810 "too" "S2" "male" "t" "oo" "voiceless" "alveolar"
6 21 146405 147507 148611 149714 "bee" "S4" "female" "b" "ee" "voiced" "labial"
6 22 153759 154863 155966 157069 "too" "S1" "male" "t" "oo" "voiceless" "alveolar"
6 23 158708 159811 160914 162017 "tee" "S2" "male" "t" "ee" "voiceless" "alveolar"
6 24 164224 165327 166431 167534 "pee" "S4" "female" "p" "ee" "voiceless" "labial"
6 25 172733 173836 174939 176043 "tee" "S1" "male" "t" "ee" "voiceless" "alveolar"
6 26 180907 182010 183114 184217 "ba" "S3" "female" "b" "a" "voiced" "labial"
6 27 186925 188028 189132 190235 "tee" "S1" "male" "t" "ee" "voiceless" "alveolar"
6 28 195668 196771 197875 198978 "doo" "S2" "male" "d" "oo" "voiced" "alveolar"
6 29 202906 204010 205113 206216 "da" "S3" "female" "d" "a" "voiced" "alveolar"
6 30 208523 209626 210730 211833 "ta" "S1" "male" "t" "a" "voiceless" "alveolar"
6 31 214976 216079 217182 218285 "tee" "S3" "female" "t" "ee" "voiceless" "alveolar"
6 32 221495 222598 223702 224805 "pa" "S4" "female" "p" "a" "voiceless" "labial"
6 33 230338 231441 232545 233648 "boo" "S4" "female" "b" "oo" "voiced" "labial"
6 34 235604 236707 237810 238914 "pee" "S1" "male" "p" "ee" "voiceless" "labial"
6 35 243344 244447 245550 246654 "pee" "S2" "male" "p" "ee" "voiceless" "labial"
6 36 251819 252922 254026 255129 "ta" "S2" "male" "t" "a" "voiceless" "alveolar"
6 37 259325 260428 261531 262635 "bee" "S1" "male" "b" "ee" "voiced" "labial"
6 38 266430 267533 268636 269739 "da" "S3" "female" "d" "a" "voiced" "alveolar"
6 39 272247 273350 274453 275557 "ta" "S3" "female" "t" "a" "voiceless" "alveolar"
6 40 279719 280822 281926 283029 "too" "S1" "male" "t" "oo" "voiceless" "alveolar"
