"Video" "Condition" "Onsettime" "OnsetDelay" "TargetTime" "run" "repnum" "MR_series" "Rating" "RT" "Slow_Load" "Onset" "constant"
"Car" "Encod" 10.895 -5 10.9 1 1 4 "Video" "Video" 0 10.895 "cons"
"BalJazz" "Encod" 15.645 -5 15.65 1 1 4 "Video" "Video" 0 15.645 "cons"
"Meat" "Encod" 20.41 10 20.4 1 1 4 "Video" "Video" 0 20.41 "cons"
"Obama" "Encod" 25.16 10 25.15 1 1 4 "Video" "Video" 0 25.16 "cons"
"Diving" "Encod" 29.909 9 29.9 1 1 4 "Video" "Video" 0 29.909 "cons"
"Car" "Recall" 35.408 8 35.4 1 1 4 "2" "2247" NA 35.408 "cons"
"Owl" "Encod" 43.907 7 43.9 1 1 4 "Video" "Video" 0 43.907 "cons"
"BalJazz" "Recall" 48.656 6 48.65 1 1 4 "2" "1495" NA 48.656 "cons"
"Coliseum" "Encod" 57.155 5 57.15 1 1 4 "Video" "Video" 0 57.155 "cons"
"Owl" "Recall" 61.904 4 61.9 1 1 4 "3" "1230" NA 61.904 "cons"
"Crying" "Encod" 71.153 3 71.15 1 1 4 "Video" "Video" 0 71.153 "cons"
"SkateDog" "Encod" 76.652 2 76.65 1 1 4 "Video" "Video" 0 76.652 "cons"
"Meat" "Recall" 81.401 1 81.4 1 1 4 "2" "2309" NA 81.401 "cons"
"RCoaster" "Encod" 89.9 0 89.9 1 1 4 "Video" "Video" 0 89.9 "cons"
"Obama" "Recall" 95.399 -1 95.4 1 1 4 "3" "1559" NA 95.399 "cons"
"Diving" "Recall" 103.898 -2 103.9 1 1 4 "2" "653" NA 103.898 "cons"
"Coliseum" "Recall" 112.397 -3 112.4 1 1 4 "3" "2266" NA 112.397 "cons"
"Avalanche" "Encod" 121.645 -5 121.65 1 1 4 "Video" "Video" 0 121.645 "cons"
"Crying" "Recall" 127.145 -5 127.15 1 1 4 "3" "886" NA 127.145 "cons"
"Avalanche" "Encod" 136.41 10 136.4 1 2 4 "Video" "Video" 0 136.41 "cons"
"RCoaster" "Recall" 141.909 9 141.9 1 1 4 "2" "2066" NA 141.909 "cons"
"SkateDog" "Recall" 151.158 8 151.15 1 1 4 "2" "1049" NA 151.158 "cons"
"Avalanche" "Recall" 160.406 6 160.4 1 1 4 "3" "808" NA 160.406 "cons"
"Car" "Encod" 169.655 5 169.65 1 2 4 "Video" "Video" 0 169.655 "cons"
"Meat" "Encod" 175.154 4 175.15 1 2 4 "Video" "Video" 0 175.154 "cons"
"SkateDog" "Encod" 179.903 3 179.9 1 2 4 "Video" "Video" 0 179.903 "cons"
"Avalanche" "Recall" 185.403 3 185.4 1 2 4 "3" "796" NA 185.403 "cons"
"Coliseum" "Encod" 193.901 1 193.9 1 2 4 "Video" "Video" 0 193.901 "cons"
"RCoaster" "Encod" 198.651 1 198.65 1 2 4 "Video" "Video" 0 198.651 "cons"
"Owl" "Encod" 203.4 0 203.4 1 2 4 "Video" "Video" 0 203.4 "cons"
"Car" "Recall" 208.149 -1 208.15 1 2 4 "3" "1401" NA 208.149 "cons"
"Diving" "Encod" 217.398 -2 217.4 1 2 4 "Video" "Video" 0 217.398 "cons"
"Obama" "Encod" 222.147 -3 222.15 1 2 4 "Video" "Video" 0 222.147 "cons"
"Meat" "Recall" 226.896 -4 226.9 1 2 4 "3" "1710" NA 226.896 "cons"
"Coliseum" "Recall" 236.145 -5 236.15 1 2 4 "3" "1157" NA 236.145 "cons"
"BalJazz" "Encod" 244.66 10 244.65 1 2 4 "Video" "Video" 0 244.66 "cons"
"SkateDog" "Recall" 249.41 10 249.4 1 2 4 "2" "1133" NA 249.41 "cons"
"Crying" "Encod" 257.908 8 257.9 1 2 4 "Video" "Video" 0 257.908 "cons"
"RCoaster" "Recall" 263.408 8 263.4 1 2 4 "3" "1119" NA 263.408 "cons"
"SkateDog" "Encod" 272.656 6 272.65 1 3 4 "Video" "Video" 0 272.656 "cons"
"Owl" "Encod" 277.406 6 277.4 1 3 4 "Video" "Video" 0 277.406 "cons"
"Meat" "Encod" 282.905 5 282.9 1 3 4 "Video" "Video" 0 282.905 "cons"
"Owl" "Recall" 288.404 4 288.4 1 2 4 "3" "995" NA 288.404 "cons"
"Diving" "Recall" 296.903 3 296.9 1 2 4 "2" "1376" NA 296.903 "cons"
"SkateDog" "Recall" 306.151 1 306.15 1 3 4 "2" "1759" NA 306.151 "cons"
"Obama" "Recall" 314.65 0 314.65 1 2 4 "2" "1365" NA 314.65 "cons"
"Crying" "Encod" 323.899 -1 323.9 1 3 4 "Video" "Video" 0 323.899 "cons"
"BalJazz" "Recall" 329.398 -2 329.4 1 2 4 "2" "1081" NA 329.398 "cons"
"Car" "Encod" 338.646 -4 338.65 1 3 4 "Video" "Video" 0 338.646 "cons"
"Crying" "Recall" 343.396 -4 343.4 1 3 4 "3" "1123" NA 343.396 "cons"
"Crying" "Recall" 352.645 -5 352.65 1 2 4 "2" "2578" NA 352.645 "cons"
"BalJazz" "Encod" 361.16 10 361.15 1 3 4 "Video" "Video" 0 361.16 "cons"
"Coliseum" "Encod" 365.909 9 365.9 1 3 4 "Video" "Video" 0 365.909 "cons"
"Owl" "Recall" 371.408 8 371.4 1 3 4 "3" "1198" NA 371.408 "cons"
"Meat" "Recall" 380.657 7 380.65 1 3 4 "3" "1462" NA 380.657 "cons"
"Avalanche" "Encod" 389.156 6 389.15 1 3 4 "Video" "Video" 0 389.156 "cons"
"RCoaster" "Encod" 394.655 5 394.65 1 3 4 "Video" "Video" 0 394.655 "cons"
"Diving" "Encod" 400.154 4 400.15 1 3 4 "Video" "Video" 0 400.154 "cons"
"RCoaster" "Recall" 405.653 3 405.65 1 3 4 "3" "1610" NA 405.653 "cons"
"Obama" "Encod" 414.152 2 414.15 1 3 4 "Video" "Video" 0 414.152 "cons"
"Car" "Recall" 419.651 1 419.65 1 3 4 "3" "2396" NA 419.651 "cons"
"Avalanche" "Recall" 428.15 0 428.15 1 3 4 "3" "2961" NA 428.15 "cons"
"BalJazz" "Recall" 437.398 -2 437.4 1 3 4 "2" "904" NA 437.398 "cons"
"Diving" "Recall" 445.897 -3 445.9 1 3 4 "2" "2278" NA 445.897 "cons"
"Coliseum" "Recall" 454.396 -4 454.4 1 3 4 "2" "1915" NA 454.396 "cons"
"Obama" "Recall" 463.645 -5 463.65 1 3 4 "2" "2794" NA 463.645 "cons"
"Meat" "Encod" 10.905 5 10.9 2 4 5 "Video" "Video" 0 10.905 "cons"
"Avalanche" "Encod" 16.404 4 16.4 2 4 5 "Video" "Video" 0 16.404 "cons"
"BalJazz" "Encod" 21.903 3 21.9 2 4 5 "Video" "Video" 0 21.903 "cons"
"Coliseum" "Encod" 27.402 2 27.4 2 4 5 "Video" "Video" 0 27.402 "cons"
"Owl" "Encod" 32.902 2 32.9 2 4 5 "Video" "Video" 0 32.902 "cons"
"BalJazz" "Recall" 37.651 1 37.65 2 4 5 "2" "1299" NA 37.651 "cons"
"Meat" "Recall" 46.899 -1 46.9 2 4 5 "3" "1306" NA 46.899 "cons"
